name,miles,price,dealer,rating,reviews,image
2019 Mercedes-Benz AMG GLE 43 4MATIC Coupe,"17,677 mi.","$73,993",BMW of Rockville,4.6,"1,348 reviews",https://platform.cstatic-images.com/large/in/v2/0c2eda40-f229-4491-a30c-73201216871b/b7ad39ca-ff11-44ae-b88f-3835d7bdee65/oxvZWgwbpVs63n_egqWy42FkT7M.jpg
2020 Mercedes-Benz GLE 350 Base 4MATIC,"12,135 mi.","$61,270",Mercedes-Benz of San Francisco / Smart Center San Francisco,4.0,59 reviews,https://platform.cstatic-images.com/large/in/v2/a857e11e-82af-556b-a2ec-4644d24d8edd/138b003d-91a7-4444-aa74-f2f0398ffd31/CZLNFWE6gK_jMRgLEoLXE0-YrX8.jpg
2016 Mercedes-Benz GLE-Class GLE 350 4MATIC,"75,126 mi.","$30,814",South Pointe Chevrolet,4.4,502 reviews,https://platform.cstatic-images.com/large/in/v2/1fd969e6-f1c3-5f30-a00c-082a3554b306/55db21a4-afdc-4011-a0fa-f58b668470df/Yf5QrBxh0e86hwX7rXD3wxdWfY0.jpg
2019 Mercedes-Benz AMG GT 63 S 4-Door,"20,122 mi.","$154,645",Mercedes-Benz of South Orlando,4.7,"1,151 reviews",https://platform.cstatic-images.com/large/in/v2/290738d0-9543-5faf-ac05-7538f264631b/eb474786-c12f-4fca-8a47-190ee5fbda03/V6XuE7Zjnuf58D2Q982HrycEpfg.jpg
2020 Mercedes-Benz GLB 250 Base 4MATIC,"15,910 mi.","$39,995",Mercedes-Benz of San Jose,4.6,585 reviews,https://platform.cstatic-images.com/large/in/v2/a0e27471-d64f-53c6-99d3-b507304ab5be/73391c38-fecd-4c91-9e6e-2701e93a45e7/hLoRpYKcL5JVlfigFeE7eGEbgwI.jpg
2008 Mercedes-Benz E-Class Sport 5.5L,"148,966 mi.","$11,900","Mallard Motors, LLC.",4.9,8 reviews,https://platform.cstatic-images.com/large/in/v2/d18fd0fb-2e6e-5d83-bcfd-4c1ee7527257/061b8784-b750-43bd-95c9-219468544b64/SXw1PIYVtWo2FF-Rvb7dMWfeJaY.jpg
2018 Mercedes-Benz C-Class C 300,"22,774 mi.","$29,975",Auto Gallery Mitsubishi - Murrieta,4.1,137 reviews,https://platform.cstatic-images.com/large/in/v2/744b499a-6989-55ab-aa56-a91220b73754/8896a799-4a73-4819-86c4-1319aee328cc/uIWoHPnwexlEyTFJEV8Xj30NuaM.jpg
2021 Mercedes-Benz GLC 300 Base 4MATIC,"10,569 mi.","$47,860",Mercedes-Benz of Chantilly,4.5,850 reviews,https://platform.cstatic-images.com/large/in/v2/6ee05a5f-ff17-5b92-a8dc-e4ddf38f0d49/1b62baee-20f5-4200-b42c-570b0f5a7a86/z1JHi70jy5eioIoc97kyfNJXSfs.jpg
2020 Mercedes-Benz AMG G 63 Base,"11,451 mi.","$255,995",Mercedes-Benz of Pembroke Pines,4.5,927 reviews,https://platform.cstatic-images.com/large/in/v2/583df28f-550a-5bbe-827d-f3abc009d148/a1c90838-7f5c-4d6f-848a-f6ad53660b89/CkzEk_NKIvBEcuPkSJrbr24MOXo.jpg
2014 Mercedes-Benz E-Class E 350,"96,591 mi.","$20,098",Caspian Auto Motors,3.8,168 reviews,https://platform.cstatic-images.com/large/in/v2/57ea61c5-339e-5e19-bb7a-b4b385b4e0bb/2398c2d7-307d-439a-84ab-751770879d9b/iLGuXLUq7RWh6Q0lScxFHQIh9pY.jpg
2018 Mercedes-Benz E-Class E 400,"15,781 mi.","$65,874",Randall Reed's Planet Ford 635,4.5,485 reviews,https://platform.cstatic-images.com/large/in/v2/8e5d8d0b-b797-55ff-b276-5501512d79a3/06fd50c8-1b84-4d76-8c14-d481294fd7a3/js9Mm5keH4huen-5voJz1HKYX4w.jpg
2018 Mercedes-Benz GLE 350 Base 4MATIC,"30,319 mi.","$40,989",EchoPark Automotive Greenville Delivery Center,4.4,19 reviews,https://platform.cstatic-images.com/large/in/v2/30588ba3-a15f-5061-82eb-e81dd760a808/c5399a9e-4312-4f63-a8f7-29ca5dc4eafe/vA3VqZsNyg3uO4cB69gUVv9DsKs.jpg
2019 Mercedes-Benz AMG GT 63 S 4-Door,"18,348 mi.","$157,688",Mercedes-Benz of Easton,4.7,666 reviews,https://platform.cstatic-images.com/large/in/v2/86f68ed7-ae99-5ffb-b7d0-7abf9b16a9b4/ddde9c59-426c-4e3e-9ad8-1adf7d28e8f3/BQ5D0s414bijWR4qsfN1iwNGAo0.jpg
2019 Mercedes-Benz GLS 450 Base 4MATIC,"54,861 mi.","$56,695",Mercedes-Benz of Pembroke Pines,4.5,927 reviews,https://platform.cstatic-images.com/large/in/v2/583df28f-550a-5bbe-827d-f3abc009d148/8d4ccaea-c8a8-4f72-956b-1987d7f160e7/--N-lGxZzEcpTGjkcChk2orh-YI.jpg
2018 Mercedes-Benz GLS 450 Base 4MATIC,"23,562 mi.","$53,926",Prestige Lexus of Ramsey,4.8,"2,675 reviews",https://platform.cstatic-images.com/large/in/v2/667a0357-f8fe-5264-bbb8-487f162c3c2c/df4bc535-5fca-45bb-b342-d9f2b592c6f6/sq5dtF2IMAtFE3FiMnNi3kI-JBI.jpg
2019 Mercedes-Benz AMG GLE 43 4MATIC Coupe,"30,575 mi.","$71,995",AutoNation Chevrolet Doral,4.6,526 reviews,https://platform.cstatic-images.com/large/in/v2/ec4d937e-1877-5d5e-9713-eef235f7764d/aabb5c4a-10f6-4f7c-b8bf-eaacf86ca203/rVkllHm7kOhGcCETkLkCsauE_Eo.jpg
2015 Mercedes-Benz GL-Class GL 550 4MATIC,"80,150 mi.","$38,000",Car Connection Inc.,4.6,97 reviews,https://platform.cstatic-images.com/large/in/v2/df88737f-55ad-5d9f-8cd1-4995e159adec/e8f8485c-b770-4fe8-be4d-8b6d002d1f92/kLMFYcPhOvXO300cBgLo9wVnNx4.jpg
2019 Mercedes-Benz GLA 250 Base 4MATIC,"40,340 mi.","$32,025",BMW of Stratham,4.8,669 reviews,https://platform.cstatic-images.com/large/in/v2/53046860-94da-5a5f-b556-cb985722128b/5466dc44-6d0e-4669-98c1-cd58d91c0a6c/N1ckFOQ_Vuc1_GhiglGw0ON-3Ps.jpg
2014 Mercedes-Benz S-Class S 550,"72,787 mi.","$40,527",Chapman BMW on Camelback,4.8,"1,399 reviews",https://platform.cstatic-images.com/large/in/v2/70f0e8dc-dc5e-55f8-91bc-725f1bdc1d0a/77a8e0ec-9da2-45a3-b3b1-2daf04bead0d/NJVK6gXCpPINxqm8eqZg-aVEFkU.jpg
2018 Mercedes-Benz C-Class C 300 4MATIC,"47,617 mi.","$30,499",AutoNation Chrysler Jeep Broadway,4.3,831 reviews,https://platform.cstatic-images.com/large/in/v2/df93f755-8706-5bee-be1c-c3f090941ee9/4e88678c-6691-4713-a931-58cf4e7be22a/Ch7VAKjv4HpvMv47eXy53WKKyp4.jpg
2021 Mercedes-Benz CLS 450 Base,"11,644 mi.","$82,998",Mercedes-Benz of Pompano,4.5,605 reviews,https://platform.cstatic-images.com/large/in/v2/30d8dbe0-38f5-5baf-956c-1019fc92b161/eaf1d927-e1f5-4785-a26f-8895aa9411e3/55Wi6A21twmFGnQ6CrVuqJK8TzQ.jpg
2018 Mercedes-Benz C-Class C 300 4MATIC,"21,978 mi.","$33,228",Zeigler Nissan of Gurnee,4.2,506 reviews,https://platform.cstatic-images.com/large/in/v2/1cde59f9-cd9d-5992-be2f-0fdcba34bb92/8239b4b0-7fc9-4777-98c5-ba959bb595a1/RS1_gntDJTHeBifHwmHD9wsrNRw.jpg
2019 Mercedes-Benz GLA 250 Base 4MATIC,"50,429 mi.","$30,692",Mercedes-Benz of Burlington,4.7,258 reviews,https://platform.cstatic-images.com/large/in/v2/a7575403-7c46-526c-9ebe-6fda30dae444/7a93fa7d-f21a-46ca-a89f-1a92da44ad6f/li8YUpvymz5lq_OpJggNcm1qLvM.jpg
2021 Mercedes-Benz GLA 250 Base 4MATIC,"13,338 mi.","$44,990",Knauz Auto Park,4.8,"1,968 reviews",https://platform.cstatic-images.com/large/in/v2/89181cc8-6019-5f77-bfde-9bb5fc867004/292973e0-acb2-42b5-a4b4-2da50f51c85b/jRal1uowcZHSnvaVXf67_Ioidco.jpg
2021 Mercedes-Benz GLB 250 4MATIC,"11,601 mi.","$46,555",Mercedes-Benz of Manchester,4.4,479 reviews,https://platform.cstatic-images.com/large/in/v2/7bdc05f9-9ddd-44ed-918c-1ce6b2476806/fcd58827-48ee-410c-99ed-7443d6278a33/0QYpm4moH2S8lAiz01-jcXD3bg8.jpg
2019 Mercedes-Benz AMG C 43 Base 4MATIC,"12,899 mi.","$57,995",Mercedes-Benz of Pembroke Pines,4.5,927 reviews,https://platform.cstatic-images.com/large/in/v2/583df28f-550a-5bbe-827d-f3abc009d148/c66ab25b-38ab-48bc-9e25-f2665a796aa1/E8aA6xBb2wzkMBIsb32GTqSqzu8.jpg
2021 Mercedes-Benz AMG G 63 Base,"4,918 mi.","$257,990",AutoNation Hyundai O'Hare,4.8,909 reviews,https://platform.cstatic-images.com/large/in/v2/25365904-d8a2-5ff5-b378-24b0a98665cb/4b3ef939-f8c2-4f02-974f-27ddc77cbccd/WZJj3vZR2gFR6A_5PgXpY-wIx_w.jpg
